noun	verb
bomb shelter	bombproof
bond certificate	bond
booby	boob
boogie-woogie	boogie
booker	book
booking	book
booking agent	book
boom	boom out
booster	boost
booster rocket	boost
booster unit	boost
bootlegger	bootleg
bootlicker	bootlick
boozer	booze
boozing	booze
border district	border
borderland	border
borderline	border
bore bit	bore
bore-hole	bore
borer	bore
borrower	borrow
borrowing	borrow
botany	botanise
botany	botanize
botch	botch up
botcher	botch
botcher	botch up
botheration	bother
bottleful	bottle
bottler	bottle
bounce	bound
bouncer	bounce
bounciness	bounce
bounciness	bound
bouncing	bounce
bouncing	bound
bound	bounce
boundary	bound
boundary line	bound
bounder	bound
bounds	bound
bowdler	bowdlerise
bowdler	bowdlerize
bowdlerisation	bowdlerise
bowdlerisation	bowdlerize
bowdleriser	bowdlerise
bowdleriser	bowdlerize
bowdlerization	bowdlerise
bowdlerization	bowdlerize
bowdlerizer	bowdlerise
bowdlerizer	bowdlerize
bowler	bowl
bracer	brace
brachiation	brachiate
bracing	brace
bracket	bracket out
braggadocio	brag
braggart	brag
bragger	brag
bragging	brag
braiding	braid
brainstorming	brainstorm
brainwave	brainstorm
branching	branch
branding	brand
brave	brave out
brawler	brawl
breach	break
breach	break up
breadstuff	bread
break	break away
break	break off
break	break out
break	break up
breakage	break
breakage	break off
breakaway	break away
break dance	break
break dance	break dance
break dance	break-dance
break dancing	break
break dancing	break dance
break dancing	break-dance
breakdown	break
breakdown	break down
breakdown	break up
breaker	break
breaker	break off
breakers	break
break-in	break
break-in	break in
breaking	break
breaking	break off
breaking and entering	break
breaking and entering	break in
breaking away	break away
breaking wind	break wind
breakout	break
breakout	break away
breakout	break out
breakthrough	break through
breakup	break
breakup	break up
breast feeding	breastfeed
breaststroker	breaststroke
breath	breathe
breather	breathe
breathing	breathe
breathing in	breathe in
breathing out	breathe out
breathing place	breathe
breathing space	breathe
breathing spell	breathe
breathing time	breathe
breccia	brecciate
breeder	breed
breeding	breed
brewage	brew
brewer	brew
brewery	brew
briber	bribe
bribery	bribe
bridge	bridge over
briefing	brief
bringing up	bring up
broadcaster	broadcast
broadsheet	broadcast
broadside	broadcast
broiler	broil
broiling	broil
brokerage	broker
brokerage firm	broker
brokerage house	broker
bromine	bromate
bromine	brominate
brooder	brood
brooding	brood
brownness	brown
browser	browse
browsing	browse
bruiser	bruise
brush-off	brush aside
brush-off	brush off
brushup	brush up
brutalisation	brutalise
brutalisation	brutalize
brutalization	brutalise
brutalization	brutalize
bubbler	bubble
bucketful	bucket
buffer	buff
buggery	bugger
bugler	bugle
builder	build
building	build
buildup	build up
bulge	bulge out
bull	bullshit
bulldozer	bulldoze
bullshit	bull
bumbler	bumble
bumper	bump
bunch	bunch together
bunch	bunch up
bunco game	bunco
bundle	bundle up
bungler	bungle
bunk bed	bunk
bunter	bunt
burglar	burglarise
burglar	burglarize
burglar	burgle
burglary	burglarise
burglary	burglarize
burglary	burgle
burn	burn down
burner	burn
burning	burn
burn mark	burn
burn mark	burn down
burping	burp
burst	burst out
burster	burst
bursting charge	burst
burying	bury
bushing	bush
bushwhacker	bushwhack
buster	bust
bustle	bustle about
butchering	butcher
butchery	butcher
butt	butt against
butt	butt on
butter	butt
butt joint	butt
